grid_position,category,category_display,image_id,commons_file_title,title,author,credit,source_page_url,image_url,original_image_url,license,license_url,changes
row3_col5,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0033,"File:Headless statuette of a Sumerian male worshiper from Diyala Region, Iraq.jpg","Headless statuette of a Sumerian male worshiper from Diyala Region, Iraq",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region,_Iraq.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region%2C_Iraq.jpg/960px-Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region%2C_Iraq.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/a0/Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region%2C_Iraq.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col6,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0002,File:A statue of limestone repre.jpg,A statue of limestone repre,Solider 16IQ,Own work,https://commons.wikimedia.org/wiki/File:A_statue_of_limestone_repre.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/A_statue_of_limestone_repre.jpg/960px-A_statue_of_limestone_repre.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/d0/A_statue_of_limestone_repre.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col1,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0018,File:Doha Museum of Islamic Arts Interior Exhibition 044.jpg,Doha Museum of Islamic Arts Interior Exhibition 044,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/99/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col2,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0038,File:Doha Museum of Islamic Arts Interior Exhibition 141.jpg,Doha Museum of Islamic Arts Interior Exhibition 141,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/e9/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col3,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0035,File:Doha Museum of Islamic Arts Interior Exhibition 138.jpg,Doha Museum of Islamic Arts Interior Exhibition 138,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/92/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col4,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0019,File:Doha Museum of Islamic Arts Interior Exhibition 045.jpg,Doha Museum of Islamic Arts Interior Exhibition 045,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/7a/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col5,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0033,File:Doha Museum of Islamic Arts Interior Exhibition 136.jpg,Doha Museum of Islamic Arts Interior Exhibition 136,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/4/40/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col6,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0002,"File:Abu al-hayy, due gru e due anatre, periodo jalayiride, tabriz 1390 ca.jpg","Abu al-hayy, due gru e due anatre, periodo jalayiride, tabriz 1390 ca",Francesco Bini,Own work,"https://commons.wikimedia.org/wiki/File:Abu_al-hayy,_due_gru_e_due_anatre,_periodo_jalayiride,_tabriz_1390_ca.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Abu_al-hayy%2C_due_gru_e_due_anatre%2C_periodo_jalayiride%2C_tabriz_1390_ca.jpg/960px-Abu_al-hayy%2C_due_gru_e_due_anatre%2C_periodo_jalayiride%2C_tabriz_1390_ca.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/f/fa/Abu_al-hayy%2C_due_gru_e_due_anatre%2C_periodo_jalayiride%2C_tabriz_1390_ca.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col1,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0003,File:25 APD Oman.jpg,25 APD Oman,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:25_APD_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/25_APD_Oman.jpg/960px-25_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/1/16/25_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col2,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0018,File:BDFIMG 5169.jpg,BDFIMG 5169,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:BDFIMG_5169.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/BDFIMG_5169.jpg/960px-BDFIMG_5169.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/2/24/BDFIMG_5169.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col3,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0002,File:25 APD Oman pdf.jpg,25 APD Oman pdf,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:25_APD_Oman_pdf.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/25_APD_Oman_pdf.jpg/960px-25_APD_Oman_pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/c/c6/25_APD_Oman_pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col4,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0010,File:75 APD Oman.jpg,75 APD Oman,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:75_APD_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/75_APD_Oman.jpg/960px-75_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/0/0e/75_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col5,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0012,File:78 APD Oman.jpg,78 APD Oman,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:78_APD_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/78_APD_Oman.jpg/960px-78_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/ee/78_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col6,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0006,File:47 APD Oman.jpg,47 APD Oman,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:47_APD_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/47_APD_Oman.jpg/960px-47_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/8/8f/47_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row6_col1,architecture_sites,Architecture sites,commons_oman_architecture_sites_exterior_of_the_national_museum_of_oman_0008,File:Oman Mascat Nationalmuseum des Sultanats Oman.jpg,Oman Mascat Nationalmuseum des Sultanats Oman,Georg Karl Ell,Own work,https://commons.wikimedia.org/wiki/File:Oman_Mascat_Nationalmuseum_des_Sultanats_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Oman_Mascat_Nationalmuseum_des_Sultanats_Oman.jpg/960px-Oman_Mascat_Nationalmuseum_des_Sultanats_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/1/1a/Oman_Mascat_Nationalmuseum_des_Sultanats_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row6_col2,architecture_sites,Architecture sites,commons_oman_architecture_sites_exterior_of_the_national_museum_of_oman_0011,File:View towards National Museum.jpg,View towards National Museum,https://www.flickr.com/photos/fran001/,https://www.flickr.com/photos/fran001/30900403425/,https://commons.wikimedia.org/wiki/File:View_towards_National_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/View_towards_National_Museum.jpg/960px-View_towards_National_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/ae/View_towards_National_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row6_col3,architecture_sites,Architecture sites,commons_oman_architecture_sites_exterior_of_the_national_museum_of_oman_0003,File:National Museum (Oman).jpg,National Museum (Oman),Ekrem Canli,Own work,https://commons.wikimedia.org/wiki/File:National_Museum_(Oman).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/National_Museum_%28Oman%29.jpg/960px-National_Museum_%28Oman%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/2/25/National_Museum_%28Oman%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row6_col4,architecture_sites,Architecture sites,commons_oman_architecture_sites_exterior_of_the_national_museum_of_oman_0006,File:National Museum Oman.jpg,National Museum Oman,NationalMuseumOman,Own work,https://commons.wikimedia.org/wiki/File:National_Museum_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/National_Museum_Oman.jpg/960px-National_Museum_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/e7/National_Museum_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row6_col5,architecture_sites,Architecture sites,commons_oman_architecture_sites_exterior_of_the_national_museum_of_oman_0001,File:4L5A0992.jpg,4L5A0992,Mohammedkhamisnasser,Own work,https://commons.wikimedia.org/wiki/File:4L5A0992.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/4L5A0992.jpg/960px-4L5A0992.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/1/17/4L5A0992.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row6_col6,architecture_sites,Architecture sites,commons_oman_architecture_sites_exterior_of_the_national_museum_of_oman_0002,File:National Museum (Oman) by night.jpg,National Museum (Oman) by night,Davide Mauro,Own work,https://commons.wikimedia.org/wiki/File:National_Museum_(Oman)_by_night.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/National_Museum_%28Oman%29_by_night.jpg/960px-National_Museum_%28Oman%29_by_night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/70/National_Museum_%28Oman%29_by_night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
